gameid,team,player,champion,win_loss
112966669924194786,GEN,GEN Chovy,Ahri,Loss
112966669924194786,GEN,GEN Peyz,Varus,Loss
112966669924194786,GEN,GEN Lehends,Renata,Loss
112966669924194787,GEN,GEN Kiin,Aurora,Win
112966669924194787,GEN,GEN Canyon,Nocturne,Win
112966669924194787,GEN,GEN Chovy,Ahri,Win
112966669924194787,GEN,GEN Peyz,Kalista,Win
112966669924194787,GEN,GEN Lehends,Leona,Win
112966669924194787,HLE,HLE Doran,Rumble,Loss
112966669924194787,HLE,HLE Peanut,Vi,Loss
112966669924194787,HLE,HLE Zeka,Akali,Loss
112966669924194787,HLE,HLE Viper,Jhin,Loss
112966669924194787,HLE,HLE Delight,Rell,Loss
112966669924194788,HLE,HLE Doran,Gnar,Loss
112966669924194788,HLE,HLE Peanut,Sejuani,Loss
112966669924194788,HLE,HLE Zeka,Smolder,Loss
112966669924194788,HLE,HLE Viper,Varus,Loss
112966669924194788,HLE,HLE Delight,Renata,Loss
112966669924194788,GEN,GEN Kiin,Aurora,Win
112966669924194788,GEN,GEN Canyon,Nocturne,Win
112966669924194788,GEN,GEN Chovy,Ahri,Win
112966669924194788,GEN,GEN Peyz,Twitch,Win
112966669924194788,GEN,GEN Lehends,Leona,Win
112966669924194798,TES,TES 369,Rumble,Win
112966669924194798,TES,TES Tian,Sejuani,Win
112966669924194798,TES,TES Creme,Yone,Win
112966669924194798,TES,TES JackeyLove,MissFortune,Win
112966669924194798,TES,TES Meiko,Rell,Win
112966669924194798,FNC,FNC Oscarinin,KSante,Loss
112966669924194798,FNC,FNC Razork,Skarner,Loss
112966669924194798,FNC,FNC Humanoid,Smolder,Loss
112966669924194798,FNC,FNC Noah,Jhin,Loss
112966669924194798,FNC,FNC Jun,Leona,Loss
112966669924194794,BLG,BLG Bin,Jax,Loss
112966669924194794,BLG,BLG Wei,Skarner,Loss
112966669924194794,BLG,BLG knight,Ahri,Loss
112966669924194794,BLG,BLG Elk,Jhin,Loss
112966669924194794,BLG,BLG ON,Poppy,Loss
112966669924194794,T1,T1 Zeus,Gnar,Win
112966669924194794,T1,T1 Oner,Vi,Win
112966669924194794,T1,T1 Faker,Sylas,Win
112966669924194794,T1,T1 Gumayusi,Kalista,Win
112966669924194794,T1,T1 Keria,Neeko,Win
112966669924194796,FLY,FLY Bwipo,Renekton,Win
112966669924194796,FLY,FLY Inspired,Ivern,Win
112966669924194796,FLY,FLY Quad,Cassiopeia,Win
112966669924194796,FLY,FLY Massu,Kaisa,Win
112966669924194796,FLY,FLY Busio,Leona,Win
112966669924194796,PSG,PSG Azhi,Gnar,Loss
112966669924194796,PSG,PSG JunJia,Vi,Loss
112966669924194796,PSG,PSG Maple,Ahri,Loss
112966669924194796,PSG,PSG Betty,Jhin,Loss
112966669924194796,PSG,PSG Woody,Rell,Loss
112966669924194800,G2,G2 BrokenBlade,Galio,Win
112966669924194800,G2,G2 Yike,Nocturne,Win
112966669924194800,G2,G2 Caps,Orianna,Win
112966669924194800,G2,G2 Hans Sama,Kalista,Win
112966669924194800,G2,G2 Mikyx,Rell,Win
112966669924194800,WBG,WBG Breathe,Rumble,Loss
112966669924194800,WBG,WBG Tarzan,Maokai,Loss
112966669924194800,WBG,WBG Xiaohu,Tristana,Loss
112966669924194800,WBG,WBG Light,Jhin,Loss
112966669924194800,WBG,WBG Crisp,Leona,Loss
112966669924194806,MDK,MDK Myrwn,Gnar,Win
112966669924194806,MDK,MDK Elyoya,Maokai,Win
112966669924194806,MDK,MDK Fresskowy,Yone,Win
112966669924194806,MDK,MDK Supa,Ziggs,Win
112966669924194806,MDK,MDK Alvaro,Nautilus,Win
112966669924194806,GAM,GAM Kiaya,Smolder,Loss
112966669924194806,GAM,GAM Levi,MonkeyKing,Loss
112966669924194806,GAM,GAM Emo,Akali,Loss
112966669924194806,GAM,GAM Easylove,Kaisa,Loss
112966669924194806,GAM,GAM Elio,Rakan,Loss
112966669924194807,GAM,GAM Kiaya,Kennen,Win
112966669924194807,GAM,GAM Levi,MonkeyKing,Win
112966669924194807,GAM,GAM Emo,Yone,Win
112966669924194807,GAM,GAM Easylove,MissFortune,Win
112966669924194807,GAM,GAM Elio,Rell,Win
112966669924194807,MDK,MDK Myrwn,Rumble,Loss
112966669924194807,MDK,MDK Elyoya,Vi,Loss
112966669924194807,MDK,MDK Fresskowy,Ahri,Loss
112966669924194807,MDK,MDK Supa,Xayah,Loss
112966669924194807,MDK,MDK Alvaro,Rakan,Loss
112966669924194808,MDK,MDK Myrwn,Gnar,Loss
112966669924194808,MDK,MDK Elyoya,Sejuani,Loss
112966669924194808,MDK,MDK Fresskowy,Yone,Loss
112966669924194808,MDK,MDK Supa,Kaisa,Loss
112966669924194808,MDK,MDK Alvaro,Nautilus,Loss
112966669924194808,GAM,GAM Kiaya,Aurora,Win
112966669924194808,GAM,GAM Levi,Nocturne,Win
112966669924194808,GAM,GAM Emo,Ahri,Win
112966669924194808,GAM,GAM Easylove,Kalista,Win
112966669924194808,GAM,GAM Elio,Braum,Win
112966669924194802,TL,TL Impact,Jax,Win
112966669924194802,TL,TL UmTi,Vi,Win
112966669924194802,TL,TL APA,Ahri,Win
112966669924194802,TL,TL Yeon,Kaisa,Win
112966669924194802,TL,TL CoreJJ,Rell,Win
112966669924194802,PNG,PNG Wizer,Gnar,Loss
112966669924194802,PNG,PNG CarioK,Nocturne,Loss
112966669924194802,PNG,PNG dyNquedo,Orianna,Loss
112966669924194802,PNG,PNG TitaN,Ezreal,Loss
112966669924194802,PNG,PNG Kuri,Alistar,Loss
112966669924194803,PNG,PNG Wizer,Renekton,Loss
112966669924194803,PNG,PNG CarioK,Nocturne,Loss
112966669924194803,PNG,PNG dyNquedo,Orianna,Loss
112966669924194803,PNG,PNG TitaN,Jhin,Loss
112966669924194803,PNG,PNG Kuri,Rell,Loss
112966669924194803,TL,TL Impact,Gnar,Win
112966669924194803,TL,TL UmTi,Skarner,Win
112966669924194803,TL,TL APA,Neeko,Win
112966669924194803,TL,TL Yeon,Ezreal,Win
112966669924194803,TL,TL CoreJJ,Leona,Win
112966669924194810,TES,TES 369,KSante,Win
112966669924194810,TES,TES Tian,XinZhao,Win
112966669924194810,TES,TES Creme,Aurora,Win
112966669924194810,TES,TES JackeyLove,Ashe,Win
112966669924194810,TES,TES Meiko,Braum,Win
112966669924194810,DK,DK Kingen,Jax,Loss
112966669924194810,DK,DK Lucid,Skarner,Loss
112966669924194810,DK,DK ShowMaker,Orianna,Loss
112966669924194810,DK,DK Aiming,Smolder,Loss
