gameid,team,player,champion,kills,deaths,assists
ESPORTSTMNT04_1960532,Galatasaray Esports,Zergsting,Rakan,2,8,2
ESPORTSTMNT04_1960532,Beyond Gaming,Liang,Irelia,4,2,4
ESPORTSTMNT04_1960532,Beyond Gaming,Husha,Lee Sin,3,1,11
ESPORTSTMNT04_1960532,Beyond Gaming,1116,Syndra,2,0,11
ESPORTSTMNT04_1960532,Beyond Gaming,Doggo,Miss Fortune,8,2,9
ESPORTSTMNT04_1960532,Beyond Gaming,Kino,Amumu,5,2,7
ESPORTSTMNT04_1960532,Galatasaray Esports,,,7,22,11
ESPORTSTMNT04_1960532,Beyond Gaming,,,22,7,42
ESPORTSTMNT04_1960539,Beyond Gaming,Liang,Camille,5,3,8
ESPORTSTMNT04_1960539,Beyond Gaming,Husha,Xin Zhao,9,2,9
ESPORTSTMNT04_1960539,Beyond Gaming,1116,Syndra,1,7,14
ESPORTSTMNT04_1960539,Beyond Gaming,Doggo,Miss Fortune,11,0,8
ESPORTSTMNT04_1960539,Beyond Gaming,Kino,Rakan,2,1,20
ESPORTSTMNT04_1960539,Galatasaray Esports,Crazy,Renekton,2,6,1
ESPORTSTMNT04_1960539,Galatasaray Esports,Mojito,Talon,6,6,3
ESPORTSTMNT04_1960539,Galatasaray Esports,Bolulu,Ryze,4,5,4
ESPORTSTMNT04_1960539,Galatasaray Esports,Alive,Ezreal,1,5,1
ESPORTSTMNT04_1960539,Galatasaray Esports,Zergsting,Leona,0,6,8
ESPORTSTMNT04_1960539,Beyond Gaming,,,28,13,59
ESPORTSTMNT04_1960539,Galatasaray Esports,,,13,28,17
ESPORTSTMNT04_1960540,Galatasaray Esports,Crazy,Gwen,3,2,3
ESPORTSTMNT04_1960540,Galatasaray Esports,Mojito,Olaf,1,3,3
ESPORTSTMNT04_1960540,Galatasaray Esports,Bolulu,Twisted Fate,0,3,6
ESPORTSTMNT04_1960540,Galatasaray Esports,Alive,Lucian,5,1,2
ESPORTSTMNT04_1960540,Galatasaray Esports,Zergsting,Trundle,0,5,7
ESPORTSTMNT04_1960540,Beyond Gaming,Liang,Gnar,2,1,2
ESPORTSTMNT04_1960540,Beyond Gaming,Husha,Graves,1,1,7
ESPORTSTMNT04_1960540,Beyond Gaming,1116,Ryze,4,1,4
ESPORTSTMNT04_1960540,Beyond Gaming,Doggo,Miss Fortune,5,2,6
ESPORTSTMNT04_1960540,Beyond Gaming,Kino,Leona,2,4,5
ESPORTSTMNT04_1960540,Galatasaray Esports,,,9,14,21
ESPORTSTMNT04_1960540,Beyond Gaming,,,14,9,24
ESPORTSTMNT04_1960541,PEACE,Vizicsacsi,Rumble,6,2,5
ESPORTSTMNT04_1960541,PEACE,Babip,Jarvan IV,4,6,12
ESPORTSTMNT04_1960541,PEACE,Tally,Sylas,2,6,8
ESPORTSTMNT04_1960541,PEACE,Violet,Lucian,6,8,6
ESPORTSTMNT04_1960541,PEACE,Aladoric,Nami,4,5,17
ESPORTSTMNT04_1960541,RED Canids,Guigo,Kennen,6,6,7
ESPORTSTMNT04_1960541,RED Canids,Aegis,Lee Sin,3,4,11
ESPORTSTMNT04_1960541,RED Canids,Grevthar,Kled,3,2,8
ESPORTSTMNT04_1960541,RED Canids,TitaN,Ezreal,15,3,4
ESPORTSTMNT04_1960541,RED Canids,JoJo,Leona,0,7,15
ESPORTSTMNT04_1960541,PEACE,,,22,27,48
ESPORTSTMNT04_1960541,RED Canids,,,27,22,45
ESPORTSTMNT04_1960553,PEACE,Vizicsacsi,Jarvan IV,7,2,5
ESPORTSTMNT04_1960553,PEACE,Babip,Nidalee,4,1,13
ESPORTSTMNT04_1960553,PEACE,Tally,Sylas,8,0,7
ESPORTSTMNT04_1960553,PEACE,Violet,Lucian,5,1,9
ESPORTSTMNT04_1960553,PEACE,Aladoric,Leona,0,3,17
ESPORTSTMNT04_1960553,RED Canids,Guigo,Kennen,1,4,2
ESPORTSTMNT04_1960553,RED Canids,Aegis,Lee Sin,2,7,4
ESPORTSTMNT04_1960553,RED Canids,Grevthar,Kled,2,4,3
ESPORTSTMNT04_1960553,RED Canids,TitaN,Ezreal,1,4,4
ESPORTSTMNT04_1960553,RED Canids,JoJo,Rakan,1,5,5
ESPORTSTMNT04_1960553,PEACE,,,24,7,51
ESPORTSTMNT04_1960553,RED Canids,,,7,24,18
ESPORTSTMNT04_1960554,RED Canids,Guigo,Yone,2,4,3
ESPORTSTMNT04_1960554,RED Canids,Aegis,Lee Sin,3,5,4
ESPORTSTMNT04_1960554,RED Canids,Grevthar,Sylas,1,5,3
ESPORTSTMNT04_1960554,RED Canids,TitaN,Xayah,2,5,2
